"model.id","tissue","tissue.name","patient.id","drug","tested"
"X.1823.ceab","X.1823.ceab","NSCLC","Non-small Cell Lung Carcinoma","X-1823","cetuximab","TRUE"
"X.1823.CG97","X.1823.CG97","NSCLC","Non-small Cell Lung Carcinoma","X-1823","CGM097","TRUE"
"X.1823.CK20","X.1823.CK20","NSCLC","Non-small Cell Lung Carcinoma","X-1823","CKX620","TRUE"
"X.1823.CL57","X.1823.CL57","NSCLC","Non-small Cell Lung Carcinoma","X-1823","CLR457","TRUE"
"X.1823.erib","X.1823.erib","NSCLC","Non-small Cell Lung Carcinoma","X-1823","erlotinib","TRUE"
"X.1823.HD01","X.1823.HD01","NSCLC","Non-small Cell Lung Carcinoma","X-1823","HDM201","TRUE"
"X.1823.HS90","X.1823.HS90","NSCLC","Non-small Cell Lung Carcinoma","X-1823","HSP990","TRUE"
"X.1823.IN80","X.1823.IN80","NSCLC","Non-small Cell Lung Carcinoma","X-1823","INC280","TRUE"
"X.1823.LC61.pael","X.1823.LC61.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1823","LCL161 + paclitaxel","TRUE"
"X.1823.LE11","X.1823.LE11","NSCLC","Non-small Cell Lung Carcinoma","X-1823","LEE011","TRUE"
"X.1823.LF27.biib","X.1823.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1823","LFW527 + binimetinib","TRUE"
"X.1823.LG47","X.1823.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1823","LGH447","TRUE"
"X.1823.LL71","X.1823.LL71","NSCLC","Non-small Cell Lung Carcinoma","X-1823","LLM871","TRUE"
"X.1823.pael","X.1823.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1823","paclitaxel","TRUE"
"X.1823.uned","X.1823.uned","NSCLC","Non-small Cell Lung Carcinoma","X-1823","untreated","TRUE"
"X.1834.BG98","X.1834.BG98","NSCLC","Non-small Cell Lung Carcinoma","X-1834","BGJ398","TRUE"
"X.1834.biib","X.1834.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1834","binimetinib","TRUE"
"X.1834.BK20","X.1834.BK20","NSCLC","Non-small Cell Lung Carcinoma","X-1834","BKM120","TRUE"
"X.1834.BK20.biib","X.1834.BK20.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1834","BKM120 + binimetinib","TRUE"
"X.1834.BY19","X.1834.BY19","NSCLC","Non-small Cell Lung Carcinoma","X-1834","BYL719","TRUE"
"X.1834.BY19.LG47","X.1834.BY19.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1834","BYL719 + LGH447","TRUE"
"X.1834.BY19.LJ16","X.1834.BY19.LJ16","NSCLC","Non-small Cell Lung Carcinoma","X-1834","BYL719 + LJM716","TRUE"
"X.1834.ceab","X.1834.ceab","NSCLC","Non-small Cell Lung Carcinoma","X-1834","cetuximab","TRUE"
"X.1834.CG97","X.1834.CG97","NSCLC","Non-small Cell Lung Carcinoma","X-1834","CGM097","TRUE"
"X.1834.CK20","X.1834.CK20","NSCLC","Non-small Cell Lung Carcinoma","X-1834","CKX620","TRUE"
"X.1834.CL57","X.1834.CL57","NSCLC","Non-small Cell Lung Carcinoma","X-1834","CLR457","TRUE"
"X.1834.erib","X.1834.erib","NSCLC","Non-small Cell Lung Carcinoma","X-1834","erlotinib","TRUE"
"X.1834.HD01","X.1834.HD01","NSCLC","Non-small Cell Lung Carcinoma","X-1834","HDM201","TRUE"
"X.1834.HS90","X.1834.HS90","NSCLC","Non-small Cell Lung Carcinoma","X-1834","HSP990","TRUE"
"X.1834.IN80","X.1834.IN80","NSCLC","Non-small Cell Lung Carcinoma","X-1834","INC280","TRUE"
"X.1834.LC61.pael","X.1834.LC61.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1834","LCL161 + paclitaxel","TRUE"
"X.1834.LE11","X.1834.LE11","NSCLC","Non-small Cell Lung Carcinoma","X-1834","LEE011","TRUE"
"X.1834.LF27.biib","X.1834.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1834","LFW527 + binimetinib","TRUE"
"X.1834.LG47","X.1834.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1834","LGH447","TRUE"
"X.1834.LL71","X.1834.LL71","NSCLC","Non-small Cell Lung Carcinoma","X-1834","LLM871","TRUE"
"X.1834.pael","X.1834.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1834","paclitaxel","TRUE"
"X.1834.uned","X.1834.uned","NSCLC","Non-small Cell Lung Carcinoma","X-1834","untreated","TRUE"
"X.1835.BG98","X.1835.BG98","NSCLC","Non-small Cell Lung Carcinoma","X-1835","BGJ398","TRUE"
"X.1835.biib","X.1835.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1835","binimetinib","TRUE"
"X.1835.BK20","X.1835.BK20","NSCLC","Non-small Cell Lung Carcinoma","X-1835","BKM120","TRUE"
"X.1835.BK20.biib","X.1835.BK20.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1835","BKM120 + binimetinib","TRUE"
"X.1835.BY19","X.1835.BY19","NSCLC","Non-small Cell Lung Carcinoma","X-1835","BYL719","TRUE"
"X.1835.BY19.LG47","X.1835.BY19.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1835","BYL719 + LGH447","TRUE"
"X.1835.BY19.LJ16","X.1835.BY19.LJ16","NSCLC","Non-small Cell Lung Carcinoma","X-1835","BYL719 + LJM716","TRUE"
"X.1835.ceab","X.1835.ceab","NSCLC","Non-small Cell Lung Carcinoma","X-1835","cetuximab","TRUE"
"X.1835.CG97","X.1835.CG97","NSCLC","Non-small Cell Lung Carcinoma","X-1835","CGM097","TRUE"
"X.1835.CK20","X.1835.CK20","NSCLC","Non-small Cell Lung Carcinoma","X-1835","CKX620","TRUE"
"X.1835.CL57","X.1835.CL57","NSCLC","Non-small Cell Lung Carcinoma","X-1835","CLR457","TRUE"
"X.1835.erib","X.1835.erib","NSCLC","Non-small Cell Lung Carcinoma","X-1835","erlotinib","TRUE"
"X.1835.HD01","X.1835.HD01","NSCLC","Non-small Cell Lung Carcinoma","X-1835","HDM201","TRUE"
"X.1835.HS90","X.1835.HS90","NSCLC","Non-small Cell Lung Carcinoma","X-1835","HSP990","TRUE"
"X.1835.IN80","X.1835.IN80","NSCLC","Non-small Cell Lung Carcinoma","X-1835","INC280","TRUE"
"X.1835.LC61.pael","X.1835.LC61.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1835","LCL161 + paclitaxel","TRUE"
"X.1835.LE11","X.1835.LE11","NSCLC","Non-small Cell Lung Carcinoma","X-1835","LEE011","TRUE"
"X.1835.LF27.biib","X.1835.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1835","LFW527 + binimetinib","TRUE"
"X.1835.LG47","X.1835.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1835","LGH447","TRUE"
"X.1835.LL71","X.1835.LL71","NSCLC","Non-small Cell Lung Carcinoma","X-1835","LLM871","TRUE"
"X.1835.pael","X.1835.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1835","paclitaxel","TRUE"
"X.1835.uned","X.1835.uned","NSCLC","Non-small Cell Lung Carcinoma","X-1835","untreated","TRUE"
"X.1869.BG98","X.1869.BG98","NSCLC","Non-small Cell Lung Carcinoma","X-1869","BGJ398","TRUE"
"X.1869.biib","X.1869.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1869","binimetinib","TRUE"
"X.1869.BK20","X.1869.BK20","NSCLC","Non-small Cell Lung Carcinoma","X-1869","BKM120","TRUE"
"X.1869.BK20.biib","X.1869.BK20.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1869","BKM120 + binimetinib","TRUE"
"X.1869.BY19","X.1869.BY19","NSCLC","Non-small Cell Lung Carcinoma","X-1869","BYL719","TRUE"
"X.1869.BY19.LG47","X.1869.BY19.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1869","BYL719 + LGH447","TRUE"
"X.1869.BY19.LJ16","X.1869.BY19.LJ16","NSCLC","Non-small Cell Lung Carcinoma","X-1869","BYL719 + LJM716","TRUE"
"X.1869.ceab","X.1869.ceab","NSCLC","Non-small Cell Lung Carcinoma","X-1869","cetuximab","TRUE"
"X.1869.CG97","X.1869.CG97","NSCLC","Non-small Cell Lung Carcinoma","X-1869","CGM097","TRUE"
"X.1869.CK20","X.1869.CK20","NSCLC","Non-small Cell Lung Carcinoma","X-1869","CKX620","TRUE"
"X.1869.CL57","X.1869.CL57","NSCLC","Non-small Cell Lung Carcinoma","X-1869","CLR457","TRUE"
"X.1869.erib","X.1869.erib","NSCLC","Non-small Cell Lung Carcinoma","X-1869","erlotinib","TRUE"
"X.1869.HD01","X.1869.HD01","NSCLC","Non-small Cell Lung Carcinoma","X-1869","HDM201","TRUE"
"X.1869.HS90","X.1869.HS90","NSCLC","Non-small Cell Lung Carcinoma","X-1869","HSP990","TRUE"
"X.1869.IN80","X.1869.IN80","NSCLC","Non-small Cell Lung Carcinoma","X-1869","INC280","TRUE"
"X.1869.LC61.pael","X.1869.LC61.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1869","LCL161 + paclitaxel","TRUE"
"X.1869.LE11","X.1869.LE11","NSCLC","Non-small Cell Lung Carcinoma","X-1869","LEE011","TRUE"
"X.1869.LF27.biib","X.1869.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1869","LFW527 + binimetinib","TRUE"
"X.1869.LG47","X.1869.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1869","LGH447","TRUE"
"X.1869.LL71","X.1869.LL71","NSCLC","Non-small Cell Lung Carcinoma","X-1869","LLM871","TRUE"
"X.1869.pael","X.1869.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1869","paclitaxel","TRUE"
"X.1869.uned","X.1869.uned","NSCLC","Non-small Cell Lung Carcinoma","X-1869","untreated","TRUE"
"X.1870.BG98","X.1870.BG98","NSCLC","Non-small Cell Lung Carcinoma","X-1870","BGJ398","TRUE"
"X.1870.biib","X.1870.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1870","binimetinib","TRUE"
"X.1870.BK20","X.1870.BK20","NSCLC","Non-small Cell Lung Carcinoma","X-1870","BKM120","TRUE"
"X.1870.BK20.biib","X.1870.BK20.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1870","BKM120 + binimetinib","TRUE"
"X.1870.BY19","X.1870.BY19","NSCLC","Non-small Cell Lung Carcinoma","X-1870","BYL719","TRUE"
"X.1870.BY19.LG47","X.1870.BY19.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1870","BYL719 + LGH447","TRUE"
"X.1870.BY19.LJ16","X.1870.BY19.LJ16","NSCLC","Non-small Cell Lung Carcinoma","X-1870","BYL719 + LJM716","TRUE"
"X.1870.ceab","X.1870.ceab","NSCLC","Non-small Cell Lung Carcinoma","X-1870","cetuximab","TRUE"
"X.1870.CG97","X.1870.CG97","NSCLC","Non-small Cell Lung Carcinoma","X-1870","CGM097","TRUE"
"X.1870.CK20","X.1870.CK20","NSCLC","Non-small Cell Lung Carcinoma","X-1870","CKX620","TRUE"
"X.1870.CL57","X.1870.CL57","NSCLC","Non-small Cell Lung Carcinoma","X-1870","CLR457","TRUE"
"X.1870.erib","X.1870.erib","NSCLC","Non-small Cell Lung Carcinoma","X-1870","erlotinib","TRUE"
"X.1870.HD01","X.1870.HD01","NSCLC","Non-small Cell Lung Carcinoma","X-1870","HDM201","TRUE"
"X.1870.HS90","X.1870.HS90","NSCLC","Non-small Cell Lung Carcinoma","X-1870","HSP990","TRUE"
"X.1870.LC61.pael","X.1870.LC61.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1870","LCL161 + paclitaxel","TRUE"
"X.1870.LE11","X.1870.LE11","NSCLC","Non-small Cell Lung Carcinoma","X-1870","LEE011","TRUE"
"X.1870.LF27.biib","X.1870.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1870","LFW527 + binimetinib","TRUE"
"X.1870.LG47","X.1870.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1870","LGH447","TRUE"
"X.1870.LL71","X.1870.LL71","NSCLC","Non-small Cell Lung Carcinoma","X-1870","LLM871","TRUE"
"X.1870.pael","X.1870.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1870","paclitaxel","TRUE"
"X.1870.uned","X.1870.uned","NSCLC","Non-small Cell Lung Carcinoma","X-1870","untreated","TRUE"
"X.1934.BG98","X.1934.BG98","NSCLC","Non-small Cell Lung Carcinoma","X-1934","BGJ398","TRUE"
"X.1934.biib","X.1934.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1934","binimetinib","TRUE"
"X.1934.BK20","X.1934.BK20","NSCLC","Non-small Cell Lung Carcinoma","X-1934","BKM120","TRUE"
"X.1934.BK20.biib","X.1934.BK20.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1934","BKM120 + binimetinib","TRUE"
"X.1934.BY19","X.1934.BY19","NSCLC","Non-small Cell Lung Carcinoma","X-1934","BYL719","TRUE"
"X.1934.BY19.LG47","X.1934.BY19.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1934","BYL719 + LGH447","TRUE"
"X.1934.BY19.LJ16","X.1934.BY19.LJ16","NSCLC","Non-small Cell Lung Carcinoma","X-1934","BYL719 + LJM716","TRUE"
"X.1934.ceab","X.1934.ceab","NSCLC","Non-small Cell Lung Carcinoma","X-1934","cetuximab","TRUE"
"X.1934.CG97","X.1934.CG97","NSCLC","Non-small Cell Lung Carcinoma","X-1934","CGM097","TRUE"
"X.1934.CK20","X.1934.CK20","NSCLC","Non-small Cell Lung Carcinoma","X-1934","CKX620","TRUE"
"X.1934.CL57","X.1934.CL57","NSCLC","Non-small Cell Lung Carcinoma","X-1934","CLR457","TRUE"
"X.1934.erib","X.1934.erib","NSCLC","Non-small Cell Lung Carcinoma","X-1934","erlotinib","TRUE"
"X.1934.HD01","X.1934.HD01","NSCLC","Non-small Cell Lung Carcinoma","X-1934","HDM201","TRUE"
"X.1934.HS90","X.1934.HS90","NSCLC","Non-small Cell Lung Carcinoma","X-1934","HSP990","TRUE"
"X.1934.IN80","X.1934.IN80","NSCLC","Non-small Cell Lung Carcinoma","X-1934","INC280","TRUE"
"X.1934.LC61.pael","X.1934.LC61.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1934","LCL161 + paclitaxel","TRUE"
"X.1934.LE11","X.1934.LE11","NSCLC","Non-small Cell Lung Carcinoma","X-1934","LEE011","TRUE"
"X.1934.LF27.biib","X.1934.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1934","LFW527 + binimetinib","TRUE"
"X.1934.LG47","X.1934.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1934","LGH447","TRUE"
"X.1934.LL71","X.1934.LL71","NSCLC","Non-small Cell Lung Carcinoma","X-1934","LLM871","TRUE"
"X.1934.pael","X.1934.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1934","paclitaxel","TRUE"
"X.1934.uned","X.1934.uned","NSCLC","Non-small Cell Lung Carcinoma","X-1934","untreated","TRUE"
"X.1979.LF27.biib","X.1979.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1979","LFW527 + binimetinib","TRUE"
"X.1980.BG98","X.1980.BG98","NSCLC","Non-small Cell Lung Carcinoma","X-1980","BGJ398","TRUE"
"X.1980.biib","X.1980.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1980","binimetinib","TRUE"
"X.1980.BK20","X.1980.BK20","NSCLC","Non-small Cell Lung Carcinoma","X-1980","BKM120","TRUE"
"X.1980.BK20.biib","X.1980.BK20.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1980","BKM120 + binimetinib","TRUE"
"X.1980.BY19","X.1980.BY19","NSCLC","Non-small Cell Lung Carcinoma","X-1980","BYL719","TRUE"
"X.1980.BY19.LG47","X.1980.BY19.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1980","BYL719 + LGH447","TRUE"
"X.1980.BY19.LJ16","X.1980.BY19.LJ16","NSCLC","Non-small Cell Lung Carcinoma","X-1980","BYL719 + LJM716","TRUE"
"X.1980.ceab","X.1980.ceab","NSCLC","Non-small Cell Lung Carcinoma","X-1980","cetuximab","TRUE"
"X.1980.CG97","X.1980.CG97","NSCLC","Non-small Cell Lung Carcinoma","X-1980","CGM097","TRUE"
"X.1980.CK20","X.1980.CK20","NSCLC","Non-small Cell Lung Carcinoma","X-1980","CKX620","TRUE"
"X.1980.CL57","X.1980.CL57","NSCLC","Non-small Cell Lung Carcinoma","X-1980","CLR457","TRUE"
"X.1980.erib","X.1980.erib","NSCLC","Non-small Cell Lung Carcinoma","X-1980","erlotinib","TRUE"
"X.1980.HD01","X.1980.HD01","NSCLC","Non-small Cell Lung Carcinoma","X-1980","HDM201","TRUE"
"X.1980.HS90","X.1980.HS90","NSCLC","Non-small Cell Lung Carcinoma","X-1980","HSP990","TRUE"
"X.1980.IN80","X.1980.IN80","NSCLC","Non-small Cell Lung Carcinoma","X-1980","INC280","TRUE"
"X.1980.LC61.pael","X.1980.LC61.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1980","LCL161 + paclitaxel","TRUE"
"X.1980.LE11","X.1980.LE11","NSCLC","Non-small Cell Lung Carcinoma","X-1980","LEE011","TRUE"
"X.1980.LF27.biib","X.1980.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1980","LFW527 + binimetinib","TRUE"
"X.1980.LG47","X.1980.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1980","LGH447","TRUE"
"X.1980.LL71","X.1980.LL71","NSCLC","Non-small Cell Lung Carcinoma","X-1980","LLM871","TRUE"
"X.1980.pael","X.1980.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1980","paclitaxel","TRUE"
"X.1980.uned","X.1980.uned","NSCLC","Non-small Cell Lung Carcinoma","X-1980","untreated","TRUE"
"X.1993.BG98","X.1993.BG98","NSCLC","Non-small Cell Lung Carcinoma","X-1993","BGJ398","TRUE"
"X.1993.biib","X.1993.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1993","binimetinib","TRUE"
"X.1993.BK20","X.1993.BK20","NSCLC","Non-small Cell Lung Carcinoma","X-1993","BKM120","TRUE"
"X.1993.BK20.biib","X.1993.BK20.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1993","BKM120 + binimetinib","TRUE"
"X.1993.BY19","X.1993.BY19","NSCLC","Non-small Cell Lung Carcinoma","X-1993","BYL719","TRUE"
"X.1993.BY19.LG47","X.1993.BY19.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1993","BYL719 + LGH447","TRUE"
"X.1993.BY19.LJ16","X.1993.BY19.LJ16","NSCLC","Non-small Cell Lung Carcinoma","X-1993","BYL719 + LJM716","TRUE"
"X.1993.ceab","X.1993.ceab","NSCLC","Non-small Cell Lung Carcinoma","X-1993","cetuximab","TRUE"
"X.1993.CG97","X.1993.CG97","NSCLC","Non-small Cell Lung Carcinoma","X-1993","CGM097","TRUE"
"X.1993.CK20","X.1993.CK20","NSCLC","Non-small Cell Lung Carcinoma","X-1993","CKX620","TRUE"
"X.1993.CL57","X.1993.CL57","NSCLC","Non-small Cell Lung Carcinoma","X-1993","CLR457","TRUE"
"X.1993.erib","X.1993.erib","NSCLC","Non-small Cell Lung Carcinoma","X-1993","erlotinib","TRUE"
"X.1993.HD01","X.1993.HD01","NSCLC","Non-small Cell Lung Carcinoma","X-1993","HDM201","TRUE"
"X.1993.HS90","X.1993.HS90","NSCLC","Non-small Cell Lung Carcinoma","X-1993","HSP990","TRUE"
"X.1993.IN80","X.1993.IN80","NSCLC","Non-small Cell Lung Carcinoma","X-1993","INC280","TRUE"
"X.1993.LC61.pael","X.1993.LC61.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1993","LCL161 + paclitaxel","TRUE"
"X.1993.LE11","X.1993.LE11","NSCLC","Non-small Cell Lung Carcinoma","X-1993","LEE011","TRUE"
"X.1993.LF27.biib","X.1993.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-1993","LFW527 + binimetinib","TRUE"
"X.1993.LG47","X.1993.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-1993","LGH447","TRUE"
"X.1993.LL71","X.1993.LL71","NSCLC","Non-small Cell Lung Carcinoma","X-1993","LLM871","TRUE"
"X.1993.pael","X.1993.pael","NSCLC","Non-small Cell Lung Carcinoma","X-1993","paclitaxel","TRUE"
"X.1993.uned","X.1993.uned","NSCLC","Non-small Cell Lung Carcinoma","X-1993","untreated","TRUE"
"X.2017.BG98","X.2017.BG98","NSCLC","Non-small Cell Lung Carcinoma","X-2017","BGJ398","TRUE"
"X.2017.biib","X.2017.biib","NSCLC","Non-small Cell Lung Carcinoma","X-2017","binimetinib","TRUE"
"X.2017.BK20","X.2017.BK20","NSCLC","Non-small Cell Lung Carcinoma","X-2017","BKM120","TRUE"
"X.2017.BK20.biib","X.2017.BK20.biib","NSCLC","Non-small Cell Lung Carcinoma","X-2017","BKM120 + binimetinib","TRUE"
"X.2017.BY19","X.2017.BY19","NSCLC","Non-small Cell Lung Carcinoma","X-2017","BYL719","TRUE"
"X.2017.BY19.LG47","X.2017.BY19.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-2017","BYL719 + LGH447","TRUE"
"X.2017.BY19.LJ16","X.2017.BY19.LJ16","NSCLC","Non-small Cell Lung Carcinoma","X-2017","BYL719 + LJM716","TRUE"
"X.2017.ceab","X.2017.ceab","NSCLC","Non-small Cell Lung Carcinoma","X-2017","cetuximab","TRUE"
"X.2017.CG97","X.2017.CG97","NSCLC","Non-small Cell Lung Carcinoma","X-2017","CGM097","TRUE"
"X.2017.CK20","X.2017.CK20","NSCLC","Non-small Cell Lung Carcinoma","X-2017","CKX620","TRUE"
"X.2017.CL57","X.2017.CL57","NSCLC","Non-small Cell Lung Carcinoma","X-2017","CLR457","TRUE"
"X.2017.erib","X.2017.erib","NSCLC","Non-small Cell Lung Carcinoma","X-2017","erlotinib","TRUE"
"X.2017.HD01","X.2017.HD01","NSCLC","Non-small Cell Lung Carcinoma","X-2017","HDM201","TRUE"
"X.2017.HS90","X.2017.HS90","NSCLC","Non-small Cell Lung Carcinoma","X-2017","HSP990","TRUE"
"X.2017.IN80","X.2017.IN80","NSCLC","Non-small Cell Lung Carcinoma","X-2017","INC280","TRUE"
"X.2017.LC61.pael","X.2017.LC61.pael","NSCLC","Non-small Cell Lung Carcinoma","X-2017","LCL161 + paclitaxel","TRUE"
"X.2017.LE11","X.2017.LE11","NSCLC","Non-small Cell Lung Carcinoma","X-2017","LEE011","TRUE"
"X.2017.LF27.biib","X.2017.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-2017","LFW527 + binimetinib","TRUE"
"X.2017.LG47","X.2017.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-2017","LGH447","TRUE"
"X.2017.LL71","X.2017.LL71","NSCLC","Non-small Cell Lung Carcinoma","X-2017","LLM871","TRUE"
"X.2017.pael","X.2017.pael","NSCLC","Non-small Cell Lung Carcinoma","X-2017","paclitaxel","TRUE"
"X.2017.uned","X.2017.uned","NSCLC","Non-small Cell Lung Carcinoma","X-2017","untreated","TRUE"
"X.2042.BG98","X.2042.BG98","NSCLC","Non-small Cell Lung Carcinoma","X-2042","BGJ398","TRUE"
"X.2042.biib","X.2042.biib","NSCLC","Non-small Cell Lung Carcinoma","X-2042","binimetinib","TRUE"
"X.2042.BK20","X.2042.BK20","NSCLC","Non-small Cell Lung Carcinoma","X-2042","BKM120","TRUE"
"X.2042.BK20.biib","X.2042.BK20.biib","NSCLC","Non-small Cell Lung Carcinoma","X-2042","BKM120 + binimetinib","TRUE"
"X.2042.BY19","X.2042.BY19","NSCLC","Non-small Cell Lung Carcinoma","X-2042","BYL719","TRUE"
"X.2042.BY19.LG47","X.2042.BY19.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-2042","BYL719 + LGH447","TRUE"
"X.2042.BY19.LJ16","X.2042.BY19.LJ16","NSCLC","Non-small Cell Lung Carcinoma","X-2042","BYL719 + LJM716","TRUE"
"X.2042.ceab","X.2042.ceab","NSCLC","Non-small Cell Lung Carcinoma","X-2042","cetuximab","TRUE"
"X.2042.CG97","X.2042.CG97","NSCLC","Non-small Cell Lung Carcinoma","X-2042","CGM097","TRUE"
"X.2042.CK20","X.2042.CK20","NSCLC","Non-small Cell Lung Carcinoma","X-2042","CKX620","TRUE"
"X.2042.CL57","X.2042.CL57","NSCLC","Non-small Cell Lung Carcinoma","X-2042","CLR457","TRUE"
"X.2042.erib","X.2042.erib","NSCLC","Non-small Cell Lung Carcinoma","X-2042","erlotinib","TRUE"
"X.2042.HD01","X.2042.HD01","NSCLC","Non-small Cell Lung Carcinoma","X-2042","HDM201","TRUE"
"X.2042.HS90","X.2042.HS90","NSCLC","Non-small Cell Lung Carcinoma","X-2042","HSP990","TRUE"
"X.2042.IN80","X.2042.IN80","NSCLC","Non-small Cell Lung Carcinoma","X-2042","INC280","TRUE"
"X.2042.LC61.pael","X.2042.LC61.pael","NSCLC","Non-small Cell Lung Carcinoma","X-2042","LCL161 + paclitaxel","TRUE"
"X.2042.LE11","X.2042.LE11","NSCLC","Non-small Cell Lung Carcinoma","X-2042","LEE011","TRUE"
"X.2042.LF27.biib","X.2042.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-2042","LFW527 + binimetinib","TRUE"
"X.2042.LG47","X.2042.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-2042","LGH447","TRUE"
"X.2042.LL71","X.2042.LL71","NSCLC","Non-small Cell Lung Carcinoma","X-2042","LLM871","TRUE"
"X.2042.pael","X.2042.pael","NSCLC","Non-small Cell Lung Carcinoma","X-2042","paclitaxel","TRUE"
"X.2042.uned","X.2042.uned","NSCLC","Non-small Cell Lung Carcinoma","X-2042","untreated","TRUE"
"X.20508.LF27.biib","X.20508.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-20508","LFW527 + binimetinib","TRUE"
"X.20689.LF27.biib","X.20689.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-20689","LFW527 + binimetinib","TRUE"
"X.20810.LF27.biib","X.20810.LF27.biib","NSCLC","Non-small Cell Lung Carcinoma","X-20810","LFW527 + binimetinib","TRUE"
"X.2082.BG98","X.2082.BG98","NSCLC","Non-small Cell Lung Carcinoma","X-2082","BGJ398","TRUE"
"X.2082.biib","X.2082.biib","NSCLC","Non-small Cell Lung Carcinoma","X-2082","binimetinib","TRUE"
"X.2082.BK20","X.2082.BK20","NSCLC","Non-small Cell Lung Carcinoma","X-2082","BKM120","TRUE"
"X.2082.BK20.biib","X.2082.BK20.biib","NSCLC","Non-small Cell Lung Carcinoma","X-2082","BKM120 + binimetinib","TRUE"
"X.2082.BY19","X.2082.BY19","NSCLC","Non-small Cell Lung Carcinoma","X-2082","BYL719","TRUE"
"X.2082.BY19.LG47","X.2082.BY19.LG47","NSCLC","Non-small Cell Lung Carcinoma","X-2082","BYL719 + LGH447","TRUE"
"X.2082.BY19.LJ16","X.2082.BY19.LJ16","NSCLC","Non-small Cell Lung Carcinoma","X-2082","BYL719 + LJM716","TRUE"
"X.2082.ceab","X.2082.ceab","NSCLC","Non-small Cell Lung Carcinoma","X-2082","cetuximab","TRUE"
"X.2082.CG97","X.2082.CG97","NSCLC","Non-small Cell Lung Carcinoma","X-2082","CGM097","TRUE"
"X.2082.CK20","X.2082.CK20","NSCLC","Non-small Cell Lung Carcinoma","X-2082","CKX620","TRUE"
"X.2082.CL57","X.2082.CL57","NSCLC","Non-small Cell Lung Carcinoma","X-2082","CLR457","TRUE"
"X.2082.erib","X.2082.erib","NSCLC","Non-small Cell Lung Carcinoma","X-2082","erlotinib","TRUE"
